Zeit;WPM;;Zeit;WPM;;Fragen;Textverständnis
00:10;2316;;04:50;80;;1;20%
00:20;1158;;05:00;77;;2;40%
00:30;772;;05:10;75;;3;60%
00:40;579;;05:20;72;;4;80%
00:50;463;;05:30;70;;5;100%
01:00;386;;05:40;68;;;
01:10;331;;05:50;66;;;
01:20;290;;;;;;
01:30;257;;;;;;
01:40;232;;;;;;
01:50;211;;;;;;
02:00;193;;;;;;
02:10;178;;;;;;
02:20;165;;;;;;
02:30;154;;;;;;
02:40;145;;;;;;
02:50;136;;;;;;
03:00;129;;;;;;
03:10;122;;;;;;
03:20;116;;;;;;
03:30;110;;;;;;
03:40;105;;;;;;
03:50;101;;;;;;
04:00;97;;;;;;
04:10;93;;;;;;
04:20;89;;;;;;
04:30;86;;;;;;
04:40;83;;;;;;
